-1.5000000000 0.0000000000
-1.4899665552 0.0000000000
-1.4799331104 0.0000000000
-1.4698996656 0.0000000000
-1.4598662207 0.0000000000
-1.4498327759 0.0000000000
-1.4397993311 0.0000000000
-1.4297658863 0.0000000000
-1.4197324415 0.0000000000
-1.4096989967 0.0000000000
-1.3996655518 0.0000000000
-1.3896321070 0.0000000000
-1.3795986622 0.0000000000
-1.3695652174 0.0000000000
-1.3595317726 0.0000000000
-1.3494983278 0.0000000000
-1.3394648829 0.0000000000
-1.3294314381 0.0000000000
-1.3193979933 0.0000000000
-1.3093645485 0.0000000000
-1.2993311037 0.0000000000
-1.2892976589 0.0000000000
-1.2792642140 0.0000000000
-1.2692307692 0.0000000000
-1.2591973244 0.0000000000
-1.2491638796 0.0000000000
-1.2391304348 0.0000000000
-1.2290969900 0.0000000000
-1.2190635452 0.0000000000
-1.2090301003 0.0000000000
-1.1989966555 0.0000000000
-1.1889632107 0.0000000000
-1.1789297659 0.0000000000
-1.1688963211 0.0000000000
-1.1588628763 0.0000000000
-1.1488294314 0.0000000000
-1.1387959866 0.0000000000
-1.1287625418 0.0000000000
-1.1187290970 0.0000000000
-1.1086956522 0.0000000000
-1.0986622074 0.0000000000
-1.0886287625 0.0000000000
-1.0785953177 0.0000000000
-1.0685618729 0.0000000000
-1.0585284281 0.0000000000
-1.0484949833 0.0000000000
-1.0384615385 0.0000000000
-1.0284280936 0.0000000000
-1.0183946488 0.0000000000
-1.0083612040 0.0000000000
-0.9983277592 0.0000000000
-0.9882943144 0.0000000000
-0.9782608696 0.0000000000
-0.9682274247 0.0000000000
-0.9581939799 0.0000000000
-0.9481605351 0.0000000000
-0.9381270903 0.0000000000
-0.9280936455 0.0000000000
-0.9180602007 0.0000000000
-0.9080267559 0.0000000000
-0.8979933110 0.0000000000
-0.8879598662 0.0000000000
-0.8779264214 0.0000000000
-0.8678929766 0.0407975862
-0.8578595318 0.2253447486
-0.8478260870 0.3151586177
-0.8377926421 0.2690468374
-0.8277591973 0.2330381853
-0.8177257525 0.2209674482
-0.8076923077 0.2161364189
-0.7976588629 0.2145991393
-0.7876254181 0.2148257097
-0.7775919732 0.2160846577
-0.7675585284 0.2179805155
-0.7575250836 0.2202812080
-0.7474916388 0.2228423136
-0.7374581940 0.2255699268
